thigmotperc,lean,locom,defec,groomfr,rear,groomdur,jump,thigmodperc,groombout,labels
69,78,13509,5,9,179,44.96,1,60.21171071,4.995555556,female
65,54,7318,1,7,8,45.36,0,69.07625034,6.48,female
44,93,9242,0,8,49,41.12,4,50.4869076,5.14,female
62,188,12429,0,15,145,54.32,12,51.56488857,3.621333333,female
83,142,7695,3,5,35,135.12,11,79.194282,27.024,female
63,78,10611,3,14,12,44.08,0,59.22156253,3.148571429,female
57,73,9181,0,7,22,59.68,0,56.31194859,8.525714286,female
30,28,5899,0,5,8,52.16,0,0.389896593,10.432,female
63,158,12704,2,7,13,48.48,0,58.90270781,6.925714286,female
73,54,8996,1,6,21,42.88,1,67.46331703,7.146666667,female
45,80,11896,0,7,38,32.08,8,39.34936113,4.582857143,female
60,70,11834,0,3,41,15.28,0,49.4591854,5.093333333,female
59,86,10938,2,6,26,40.48,0,50.71311026,6.746666667,female
58,77,8553,4,10,48,63.68,0,56.37787911,6.368,female
81,142,10871,9,10,45,79.84,8,71.93450465,7.984,female
56,141,11014,4,8,44,91.04,2,63.02887234,11.38,female
79,30,11942,6,16,16,103.92,0,74.95394406,6.495,female
56,78,12985,2,8,17,86.4,0,54.33962264,10.8,female
76,84,9719,0,8,18,36.16,0,67.15711493,4.52,female
45,131,14435,1,1,85,35.36,12,40.92137167,35.36,female
70,88,13239,3,6,28,58.48,0,57.94999622,9.746666667,female
46,113,16549,6,12,16,73.76,14,48.24460693,6.146666667,female
70,51,8292,2,9,16,135.6,0,68.81331404,15.06666667,female
54,11,5854,2,8,14,129.68,0,58.60949778,16.21,female
51,111,13453,1,5,95,57.36,1,46.88173642,11.472,female
56,169,12974,7,4,83,37.2,6,45.72221366,9.3,female
53,75,12619,1,2,23,15.36,0,49.51263967,7.68,female
58,62,9507,2,4,16,10.4,0,52.05637951,2.6,female
87,94,9111,2,6,61,29.04,0,81.977829,4.84,female
88,67,7222,1,3,35,25.52,0,81.39019662,8.506666667,female
87,94,9111,2,6,61,29.04,0,81.977829,4.84,female
83,42,5414,6,13,34,136.32,0,68.32286664,10.48615385,female
75,50,9331,2,16,76,209.44,0,57.70013932,13.09,female
82,63,7707,1,16,37,210.48,8,67.48410536,13.155,female
85,50,4998,3,7,4,100.72,0,81.17246899,14.38857143,female
65,48,6700,1,2,2,40.4,0,63.86567164,20.2,female
75,115,11871,0,4,66,11.04,252,65.08297532,2.76,female
73,53,10050,0,12,22,40.56,77,62.51741294,3.38,female
91,68,6953,0,2,5,7.2,0,87.76067884,3.6,female
92,73,8849,0,6,10,26.72,0,88.12295175,4.453333333,female
45,33,9771,0,17,37,165.28,0,36.48551837,9.722352941,female
27,11,7030,7,5,26,86.08,0,26.88477952,17.216,female
73,85,8384,7,11,45,65.68,0,65.73234733,5.970909091,female
62,57,7454,0,8,35,112.96,0,58.23718809,14.12,female
58,51,9485,2,9,68,50.8,0,48.16025303,5.644444444,female
19,2,4855,3,6,42,31.76,0,21.21524202,5.293333333,female
71,26,8407,1,7,87,164.16,0,55.84631854,23.45142857,female
72,52,7285,1,19,49,256.4,0,56.25257378,13.49473684,female
67,70,10406,0,9,84,45.52,0,53.44032289,5.057777778,female
58,46,12422,0,8,124,38.88,0,52.06891,4.86,female
77,55,12695,0,12,2,25.68,0,65.89996061,2.14,female
61,52,11138,3,5,53,14.96,0,54.46220147,2.992,female
84,74,8188,4,10,40,74.8,0,72.55740108,7.48,female
67,71,10341,5,6,111,43.76,0,48.22551011,7.293333333,female
50,42,11467,0,5,53,73.84,0,46.24574867,14.768,female
64,67,11671,0,10,41,86,0,60.62890926,8.6,female
60,40,7465,1,10,35,134.56,0,49.05559277,13.456,female
63,83,9584,0,6,35,33.6,0,61.33138564,5.6,female
83,54,8478,3,7,13,74.24,0,74.18023119,10.60571429,female
61,42,9038,7,5,20,101.12,0,49.05952644,20.224,female
51,75,11870,0,6,69,50.48,0,40.37910699,8.413333333,female
54,45,9263,4,7,36,119.36,0,47.22012307,17.05142857,female
91,51,6829,7,10,27,82.88,0,83.13076585,8.288,female
57,43,10051,2,2,37,8.64,0,42.02566909,4.32,female
73,67,14177,3,12,91,48.48,0,64.43535304,4.04,female
93,38,7121,3,10,37,54.56,0,90.22609184,5.456,female
83,141,10216,0,2,38,17.04,0,73.71769773,8.52,female
73,111,11077,0,4,48,11.12,1,67.54536427,2.78,female
91,45,6575,5,8,39,69.52,0,80.50190114,8.69,female
74,24,4713,6,6,1,113.28,0,72.56524507,18.88,female
56,36,7371,5,3,16,22.08,0,62.5966626,7.36,female
67,90,12627,4,2,44,11.44,0,57.68591114,5.72,female
73,58,9788,7,4,75,37.12,4,67.31712301,9.28,female
35,40,8582,0,4,73,19.2,1,27.9888138,4.8,female
67,82,11309,7,6,29,69.12,0,49.10248475,11.52,female
72,101,12712,0,6,29,23.6,0,56.98552549,3.933333333,female
58,110,9374,1,17,76,84.56,0,45.23149136,4.974117647,female
71,39,6741,4,9,59,115.04,0,44.99332443,12.78222222,female
79,106,11002,2,2,19,19.68,0,63.06126159,9.84,female
78,106,10752,6,2,45,11.84,0,62.7046131,5.92,female
82,47,9602,0,9,3,61.92,0,74.78650281,6.88,female
82,60,9092,1,7,12,51.28,0,78.06863176,7.325714286,female
70,76,13412,3,5,22,38.32,0,58.76826722,7.664,female
65,103,15542,2,5,42,26.4,0,47.79307682,5.28,female
65,98,11932,0,1,54,6.56,1,57.86959437,6.56,female
65,59,11488,1,3,57,13.28,0,53.8387883,4.426666667,female
70,78,11659,3,14,45,33.92,0,60.32249764,2.422857143,female
75,143,10005,1,6,52,20.96,0,65.17741129,3.493333333,female
83,204,8526,10,12,39,100.72,43,74.91203378,8.393333333,female
73,170,9332,3,2,83,19.76,2,58.28332619,9.88,female
62,54,8800,8,7,32,192.08,0,57.18181818,27.44,female
78,62,9103,8,8,39,133.44,0,64.42930902,16.68,female
75,64,9175,5,3,60,35.68,0,66.91008174,11.89333333,female
57,76,15326,0,1,42,6,10,46.7114707,6,female
65,119,10626,13,9,60,57.6,3,53.18087709,6.4,female
51,91,8028,8,7,9,69.12,3,43.23617339,9.874285714,female
69,149,12841,1,6,200,62.72,55,51.74830621,10.45333333,female
69,148,12296,6,4,185,34.24,19,55.72543917,8.56,female
93,113,7049,4,9,4,328.4,7,82.28117464,36.48888889,female
63,130,13245,0,3,69,11.52,3,56.59494149,3.84,female
84,59,6883,9,6,19,99.12,0,78.38151969,16.52,female
86,64,12071,2,6,2,127.12,0,80.27503935,21.18666667,female
71,53,12023,6,7,7,120.56,0,58.05539383,17.22285714,female
62,101,11567,4,8,62,49.92,0,59.54007089,6.24,female
71,96,13687,0,7,23,59.52,0,62.59954702,8.502857143,female
66,44,7061,3,7,61,82.64,0,58.75938252,11.80571429,female
82,54,8148,4,5,31,100.72,0,72.82768778,20.144,female
76,52,8594,1,7,18,152.08,0,61.22876425,21.72571429,female
57,73,12680,1,3,98,39.12,5,48.77760252,13.04,female
58,65,10977,1,3,52,21.12,0,44.7663296,7.04,female
63,31,8659,2,3,5,14.64,0,56.01108673,4.88,female
68,127,12237,6,12,74,64.96,0,50.24107216,5.413333333,female
89,72,7086,0,6,35,81.6,3,79.52300311,13.6,female
84,175,13522,10,6,41,58,16,73.06611448,9.666666667,female
60,73,9135,0,1,91,24.08,1,52.47947455,24.08,female
67,76,8358,6,25,90,120.8,4,52.44077531,4.832,female
69,91,7485,4,4,31,91.68,0,64.79625919,22.92,female
93,96,8026,0,8,4,26.72,0,92.49937703,3.34,female
77,78,6864,12,8,57,88.8,0,60.38752914,11.1,female
67,74,7943,7,6,54,45.52,1,56.67883671,7.586666667,female
