,area,year,total,men,women,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009
71,Eritrea,2009,5,6,4,688921325.7,706370812.3,752368494.5,729321364.1,870247701.7,1109054002,1098425900,1211161880,1317974493,1380188800,1856695550
90,Grenada,2009,16,16,17,379629397.7,523256354.9,523279846.4,544381961.6,596339088.7,600014340.6,700431791.3,704762535.9,763824454.9,832339701.3,775507460.7
94,Guyana,2009,12,12,12,694754984,712667925.1,696281468.8,722460911.6,741929343,785918769.7,824880550.3,1458449058,1740335069,1922597807,2025565089
116,Kenya,2009,11,11,11,12896010520,12705350153,12985991723,13147736954,14904504019,16095321631,18737895401,22504136042,27236739896,30465489796,30580367979
119,Kuwait,2009,13,12,14,30120888964,37718011469,34890773740,38138801497,47875837662,59440511982,80797945205,1.02E+11,1.15E+11,1.47E+11,1.06E+11
128,Lebanon,2009,14,13,14,17391056437,17260364842,17649751244,19152238806,20082918740,21789054726,21860696517,22438474295,25056716418,30079601990,34650746269
145,Mali,2009,8,9,7,2570429655,2422482318,2629739067,3342824260,4362439887,4874178417,5305317555,6122644015,7145394015,8737687353,8964480570
157,Mongolia,2009,14,13,15,1057408608,1136896162,1267997923,1396555772,1595297301,1992066759,2523359941,3414053251,4234894168,5623236708,4583834427
168,Niger,2009,5,5,4,2018193598,1798374533,1945327546,2170481498,2731416281,3052898686,3405134555,3646727993,4291363547,5403364454,5397121962
178,Pakistan,2009,7,8,6,62973855719,73952374970,72309738921,72306820396,83244801093,97977766198,1.10E+11,1.37E+11,1.52E+11,1.70E+11,1.68E+11
188,Qatar,2009,12,11,14,12393131511,17759889598,17538461033,19363735706,23533790531,31675273812,43040108650,60496701553,79546975729,1.15E+11,97583513671
193,Rwanda,2009,11,11,11,1817655192,1734938190,1674685126,1677447003,1845979351,2089188921,2581286407,3111191406,3738146669,4711735377,5252677065
200,Serbia,2009,14,13,14,17632705913,6082791506,11390468619,15102567925,19550781969,23649854234,25234408773,29221081587,38952093544,47760580366,40249479880
227,Thailand,2009,12,12,13,1.23E+11,1.23E+11,1.16E+11,1.27E+11,1.43E+11,1.61E+11,1.76E+11,2.07E+11,2.47E+11,2.73E+11,2.64E+11
247,Uzbekistan,2009,11,12,11,17078465982,13760374488,11401351420,9687951055,10128112401,12030023548,14307509839,17030896203,22311393928,27934030937,32816828373
115,Kazakhstan,2010,15,15,16,16870817135,18291990619,22152689130,24636598581,30833692831,43151647003,57123671734,81003864916,1.05E+11,1.33E+11,1.15E+11
